name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,search_word,region,isin_region
云南大学-高层管理者培训与发展中心,云南省,昆明市,五华区,翠湖北路2云南大学成教楼内,None,3348cbcae8693fffd0ff2348,3348cbcae8693fffd0ff2348,1,"{'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=3348cbcae8693fffd0ff2348&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'children': []}","{'lat': 25.061697, 'lng': 102.709619}",http://api.map.baidu.com/place/detail?uid=3348cbcae8693fffd0ff2348&output=html&source=placeapi_v2,教育培训;培训机构,education,大学,五华区,True
昆明理工大学-科技园,云南省,昆明市,盘龙区,云南省昆明市盘龙区科技楼B幢,None,2332ccd9b058703531870af2,2332ccd9b058703531870af2,1,"{'tag': '公司企业;园区', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2332ccd9b058703531870af2&output=html&source=placeapi_v2', 'children': []}","{'lat': 25.055557, 'lng': 102.735065}",http://api.map.baidu.com/place/detail?uid=2332ccd9b058703531870af2&output=html&source=placeapi_v2,公司企业;园区,enterprise,大学,五华区,False
云南财经大学荟华苑-7号楼,云南省,昆明市,五华区,汇新大道与致远路交叉口西50米,None,2443d0476645100f901fc97d,2443d0476645100f901fc97d,1,"{'tag': '房地产;内部楼栋', 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2443d0476645100f901fc97d&output=html&source=placeapi_v2', 'children': []}","{'lat': 25.08811, 'lng': 102.725592}",http://api.map.baidu.com/place/detail?uid=2443d0476645100f901fc97d&output=html&source=placeapi_v2,房地产;内部楼栋,house,大学,五华区,True
云南大学艺术学院社会艺术水平考级委员会培训点,云南省,昆明市,盘龙区,联盟路330号旁,None,aee74963c1abff57276e98f4,None,1,"{'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=aee74963c1abff57276e98f4&output=html&source=placeapi_v2', 'overall_rating': '5.0', 'comment_num': '1', 'children': []}","{'lat': 25.066253, 'lng': 102.726867}",http://api.map.baidu.com/place/detail?uid=aee74963c1abff57276e98f4&output=html&source=placeapi_v2,教育培训;培训机构,education,大学,五华区,False
name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,search_word,region,isin_region
云南大学,云南省,昆明市,五华区,昆明市五华区翠湖北路2号,(0871)65034114,aa007afbf9e7448b882fb5a0,aa007afbf9e7448b882fb5a0,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.71023994728, 'lat': 25.05819616493}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=aa007afbf9e7448b882fb5a0&output=html&source=placeapi_v2', 'overall_rating': '4.7', 'comment_num': '78', 'children': []}","{'lat': 25.060198, 'lng': 102.708574}",http://api.map.baidu.com/place/detail?uid=aa007afbf9e7448b882fb5a0&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
云南财经大学,云南省,昆明市,五华区,云南省昆明市五华区龙泉路237号,None,895936e3341c32019a00501e,895936e3341c32019a00501e,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.72800402946, 'lat': 25.086320126732}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=895936e3341c32019a00501e&output=html&source=placeapi_v2', 'overall_rating': '4.4', 'comment_num': '29', 'children': []}","{'lat': 25.086668, 'lng': 102.725049}",http://api.map.baidu.com/place/detail?uid=895936e3341c32019a00501e&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
昆明理工大学(新迎校区),云南省,昆明市,盘龙区,云南省昆明市盘龙区环城东路50号,None,21fe631fb5a2ea5ba9f0cdd5,21fe631fb5a2ea5ba9f0cdd5,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.73540131303, 'lat': 25.054968686575}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=21fe631fb5a2ea5ba9f0cdd5&output=html&source=placeapi_v2', 'overall_rating': '4.3', 'comment_num': '10', 'children': []}","{'lat': 25.057673, 'lng': 102.738687}",http://api.map.baidu.com/place/detail?uid=21fe631fb5a2ea5ba9f0cdd5&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,False
云南中医药大学(白塔校区),云南省,昆明市,盘龙区,昆明市盘龙区白塔路88号,None,cc788fded9bd498b88fc0672,cc788fded9bd498b88fc0672,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.73185735945, 'lat': 25.042473203914}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=cc788fded9bd498b88fc0672&output=html&source=placeapi_v2', 'overall_rating': '4.0', 'comment_num': '3', 'children': []}","{'lat': 25.042751, 'lng': 102.73126}",http://api.map.baidu.com/place/detail?uid=cc788fded9bd498b88fc0672&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,False
云南旅游职业学院,云南省,昆明市,五华区,云南省昆明市五华区龙泉路268号,(0871)65187607,69802dbee713155b5cbe8623,69802dbee713155b5cbe8623,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.71774072642, 'lat': 25.08161367006}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=69802dbee713155b5cbe8623&output=html&source=placeapi_v2', 'overall_rating': '4.7', 'comment_num': '13', 'children': []}","{'lat': 25.08308, 'lng': 102.716163}",http://api.map.baidu.com/place/detail?uid=69802dbee713155b5cbe8623&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
云南师范大学文理学院(龙泉校区),云南省,昆明市,五华区,昆明市五华区龙泉路岗头村627号,"(0871)65843058,(0871)65825028",9ee392b80c4ecc40bbbd6304,9ee392b80c4ecc40bbbd6304,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.7231084953, 'lat': 25.095088606529}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=9ee392b80c4ecc40bbbd6304&output=html&source=placeapi_v2', 'overall_rating': '4.2', 'comment_num': '6', 'children': []}","{'lat': 25.095791, 'lng': 102.718721}",http://api.map.baidu.com/place/detail?uid=9ee392b80c4ecc40bbbd6304&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
昆明广播电视大学,云南省,昆明市,盘龙区,云南省昆明市盘龙区文艺路66号,(0871)63363993,d59f72b853ced12d8f55ec45,d59f72b853ced12d8f55ec45,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.745602412, 'lat': 25.053207000236}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=d59f72b853ced12d8f55ec45&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'children': []}","{'lat': 25.053546, 'lng': 102.745654}",http://api.map.baidu.com/place/detail?uid=d59f72b853ced12d8f55ec45&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,False
云南财经大学北院,云南省,昆明市,五华区,昆明市五华区龙泉路295号,None,dd5c0efe22f282e2c62ba17f,dd5c0efe22f282e2c62ba17f,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.72572720228, 'lat': 25.094577358338}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=dd5c0efe22f282e2c62ba17f&output=html&source=placeapi_v2', 'overall_rating': '4.8', 'comment_num': '7', 'children': []}","{'lat': 25.094093, 'lng': 102.727455}",http://api.map.baidu.com/place/detail?uid=dd5c0efe22f282e2c62ba17f&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
云南民族大学,云南省,昆明市,五华区,云南省昆明市一二一大街134号,None,7cba43f8a4226fe0f70e7775,7cba43f8a4226fe0f70e7775,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.70954806968, 'lat': 25.062804878145}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=7cba43f8a4226fe0f70e7775&output=html&source=placeapi_v2', 'overall_rating': '5.0', 'comment_num': '5', 'children': []}","{'lat': 25.064408, 'lng': 102.709687}",http://api.map.baidu.com/place/detail?uid=7cba43f8a4226fe0f70e7775&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,True
昆明医科大学(平政校区),云南省,昆明市,五华区,平政街39号,None,eed2af888218dfe0f8dc85c9,eed2af888218dfe0f8dc85c9,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 102.71864856475, 'lat': 25.055404308694}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=eed2af888218dfe0f8dc85c9&output=html&source=placeapi_v2', 'overall_rating': '0.0', 'comment_num': '1', 'children': []}","{'lat': 25.055501, 'lng': 102.718271}",http://api.map.baidu.com/place/detail?uid=eed2af888218dfe0f8dc85c9&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,五华区,False
